orderid,dateid,countryid,categoryid,amount
1,1,6,4,5190
2,1,25,2,1205
3,1,22,5,3155
4,1,40,2,268
5,1,28,3,3199
6,1,30,4,6643
7,1,11,2,3995
8,1,14,4,2318
9,1,18,2,3956
10,1,37,1,3681
11,1,10,3,1309
12,1,1,1,5937
13,1,9,2,6487
14,1,42,1,7745
15,1,6,1,3597
16,1,11,5,399
17,1,31,2,3199
18,1,28,2,2868
19,1,36,2,2004
20,1,22,4,5061
21,1,25,5,2124
22,1,50,3,2128
23,1,18,3,912
24,1,15,3,2295
25,1,36,4,410
26,1,11,3,2650
27,1,30,3,1371
28,1,28,4,1992
29,1,1,5,5199
30,1,33,4,3648
31,1,19,2,3433
32,1,9,4,4016
33,1,34,2,2538
34,1,36,3,1450
35,1,47,2,2815
36,1,35,5,2332
37,1,32,2,3818
38,1,20,3,5794
39,1,38,5,5287
40,1,24,4,3594
41,1,23,3,5180
42,1,25,4,3002
43,1,48,4,4500
44,1,37,3,6959
45,1,48,5,4012
46,1,53,4,1894
47,1,36,1,4076
48,1,35,1,7131
49,1,51,1,6211
50,1,24,2,5604
51,1,17,4,311
52,1,42,2,59
53,1,19,1,5905
54,1,15,5,2652
55,1,29,4,4757
56,1,49,1,3264
57,1,18,1,2546
58,1,20,5,7817
59,1,27,5,6918
60,1,4,2,7813
61,1,40,3,7908
62,1,50,1,5203
63,1,13,1,5742
64,1,12,5,3413
65,1,31,3,7967
66,1,55,1,2859
67,1,11,1,1535
68,1,33,3,2160
69,1,44,2,4116
70,1,32,4,5067
71,1,43,4,2516
72,1,46,5,6554
73,1,21,5,5442
74,1,38,2,5636
75,1,5,5,7826
76,1,4,3,6510
77,1,13,5,7453
78,1,18,5,5742
79,1,56,2,6774
80,1,30,2,511
81,1,10,5,984
82,1,32,5,5695
83,1,24,1,3475
84,1,51,2,2612
85,1,33,1,5225
86,1,36,5,1968
87,1,53,3,7330
88,1,23,4,6128
89,1,2,1,912
90,1,46,4,1178
91,1,4,1,6308
92,1,55,3,1055
93,1,25,3,7350
94,1,44,4,7329
95,1,54,3,462
96,1,23,1,5482
97,1,56,5,185
98,1,9,3,1974
99,1,31,1,4358
100,1,6,3,1871
101,1,13,4,4784
102,1,44,1,479
103,1,56,1,5479
104,1,20,4,7683
105,1,50,4,2384
106,1,10,4,3005
107,1,8,2,5560
108,1,37,4,893
109,1,12,2,2201
110,1,45,2,5867
111,1,3,2,6015
112,1,3,5,6974
113,1,43,2,789
114,1,35,2,3050
115,1,47,4,5290
116,1,26,2,3860
117,1,51,5,2405
118,1,48,1,4392
119,1,42,5,5582
120,1,31,5,3318
121,1,1,3,1156
122,1,2,4,4894
123,1,1,2,2008
124,1,14,2,332
125,1,1,4,6705
126,1,27,1,3381
127,1,47,1,6245
128,1,16,1,2714
129,1,7,2,859
130,1,26,4,3883
131,1,17,2,5077
132,1,17,5,5491
133,1,15,2,1881
134,1,3,3,2758
135,1,47,5,5661
136,1,43,5,6723
137,1,27,3,6302
138,1,20,1,5898
139,1,15,1,4192
140,1,5,3,2823
141,1,49,4,1359
142,1,34,3,7662
143,1,31,4,4617
144,1,10,1,2840
145,1,2,2,6348
146,1,41,4,4119
147,1,5,4,4018
148,1,53,5,5346
149,1,54,2,7993
150,1,14,3,2443
151,1,4,4,4118
152,1,19,4,7736
153,1,52,1,5449
154,1,41,1,7702
155,1,22,2,1279
156,1,14,1,6467
157,1,55,4,920
158,1,52,3,6309
159,1,14,5,4495
160,1,26,3,312
161,1,11,4,3546
162,1,8,1,4737
163,1,54,5,6103
164,1,39,5,68
165,1,45,4,4863
166,1,55,2,3487
167,1,26,5,1285
168,1,24,3,7025
169,1,37,2,6616
170,1,53,2,87
171,1,45,5,6725
172,1,7,4,3115
173,1,38,1,1992
174,1,46,3,1700
175,1,41,2,4740
176,1,49,5,7121
177,1,38,3,5255
178,1,37,5,1598
179,1,16,5,3901
180,1,21,2,6704
181,1,49,3,4663
182,1,13,2,352
183,1,10,2,2637
184,1,51,3,5648
185,1,17,3,6092
186,1,43,3,7587
187,1,45,1,1840
188,1,42,3,6334
189,1,34,5,7366
190,1,4,5,4330
191,1,21,4,2172
192,1,6,2,3094
193,1,5,2,7199
194,1,15,4,4260
195,1,56,4,3828
196,1,27,2,1067
197,1,23,5,4977
198,1,54,1,3542
199,1,55,5,1821
200,1,24,5,7919
201,1,19,3,1544
202,1,38,4,7599
203,1,25,1,6092
204,1,56,3,5071
205,1,42,4,4682
206,1,29,3,6187
207,1,29,5,237
208,1,23,2,1377
209,1,40,1,1718
210,1,20,2,6411
211,1,52,2,7575
212,1,30,5,2984
213,1,51,4,4330
214,1,46,2,1424
215,1,34,4,6272
216,1,50,2,7725
217,1,50,5,4150
218,1,44,3,4307
219,1,47,3,2151
220,1,12,4,5485
221,1,16,4,4383
222,1,6,5,3405
223,1,9,1,4552
224,1,29,1,3587
225,1,41,3,1162
226,1,18,4,1533
227,1,8,4,5149
228,1,29,2,2012
229,1,3,4,1857
230,1,16,2,7718
231,1,26,1,4720
232,1,7,3,5612
233,1,39,3,2309
234,1,17,1,1566
235,1,12,1,7707
236,1,19,5,630
237,1,3,1,2288
238,1,45,3,3650
239,1,32,1,2609
240,1,21,1,3084
241,1,40,5,7139
242,1,41,5,7623
243,1,22,3,6152
244,1,16,3,3364
245,1,30,1,1331
246,1,28,1,3992
247,1,48,3,3841
248,1,40,4,2731
249,1,53,1,1666
250,1,39,2,3710
251,1,28,5,147
252,1,5,1,1489
253,1,39,1,4654
254,1,13,3,4552
255,1,8,5,6883
256,1,49,2,605
257,1,33,5,3524
258,1,9,5,2304
259,1,33,2,4120
260,1,22,1,2419
261,1,27,4,4148
262,1,39,4,6774
263,1,32,3,707
264,1,34,1,674
265,1,7,5,3349
266,1,7,1,6786
267,1,2,5,1949
268,1,8,3,6409
269,1,46,1,6126
270,1,48,2,3992
271,1,44,5,321
272,1,35,4,391
273,1,2,3,4118
274,1,52,5,7036
275,1,43,1,5258
276,1,54,4,4041
277,1,21,3,1110
278,2,20,1,2736
279,2,46,4,3337
280,2,29,3,6562
281,2,22,5,7412
282,2,39,5,3526
283,2,23,4,7331
284,2,15,3,4194
285,2,45,3,1722
286,2,43,4,5549
287,2,11,3,947
288,2,47,4,924
289,2,3,2,7134
290,2,55,2,3069
291,2,5,4,1690
292,2,53,3,5286
293,2,54,5,1938
294,2,26,3,688
295,2,6,1,1546
296,2,52,5,4000
297,2,24,5,6591
298,2,18,3,1676
299,2,24,1,2177
300,2,47,5,3527
301,2,49,4,2622
302,2,27,5,3623
303,2,23,5,7152
304,2,22,2,2638
305,2,39,4,7534
306,2,46,5,2103
307,2,3,1,5068
308,2,49,2,1938
309,2,4,4,6694
310,2,38,1,1999
311,2,32,3,2086
312,2,45,5,6521
313,2,51,3,6830
314,2,34,5,6058
315,2,27,3,584
316,2,44,3,7396
317,2,27,2,2036
318,2,53,1,6261
319,2,26,2,2044
320,2,3,4,4914
321,2,13,2,590
322,2,16,3,7770
323,2,2,4,3180
324,2,41,3,1857
325,2,4,1,5031
326,2,56,3,4106
